epoch,train_loss,val_loss,val_AUROC,dataset,variant,seed
10,0.41946838051080704,0.49393513798713684,0.6693203597228365,rel-trial,rgcn-basis8,44
1,0.507528830319643,0.4958149492740631,0.6528442317916002,rel-trial,rgcn-basis30,42
2,0.47861940537889797,0.5045796036720276,0.6768838316825934,rel-trial,rgcn-basis30,42
3,0.4674859295288722,0.47783662378787994,0.6806901388944733,rel-trial,rgcn-basis30,42
4,0.45850079754988354,0.4769003838300705,0.6841926563288793,rel-trial,rgcn-basis30,42
5,0.45495782047510147,0.5010668188333511,0.6818338180567283,rel-trial,rgcn-basis30,42
6,0.4510679431259632,0.4747052937746048,0.6750030155602911,rel-trial,rgcn-basis30,42
7,0.4422634815176328,0.47617603838443756,0.6773886588128074,rel-trial,rgcn-basis30,42
8,0.4353570466240247,0.4844570755958557,0.6634232640424591,rel-trial,rgcn-basis30,42
9,0.42839765548706055,0.5051518827676773,0.665773167321155,rel-trial,rgcn-basis30,42
10,0.42197302232186,0.507766380906105,0.6675378285285407,rel-trial,rgcn-basis30,42
1,0.5067912514011065,0.4891568124294281,0.64863584987424,rel-trial,rgcn-basis30,43
2,0.47842635835210484,0.4778083860874176,0.6746679533057243,rel-trial,rgcn-basis30,43
3,0.4678208145002524,0.4766869992017746,0.6793186173991128,rel-trial,rgcn-basis30,43
4,0.4595949351787567,0.47775307297706604,0.6735510791238346,rel-trial,rgcn-basis30,43
5,0.45263352369268733,0.4756964445114136,0.6774422687735382,rel-trial,rgcn-basis30,43
6,0.45063651353120804,0.4889904111623764,0.6790595025889143,rel-trial,rgcn-basis30,43
7,0.44614893943071365,0.4816132038831711,0.6794303048173018,rel-trial,rgcn-basis30,43
8,0.4362926719089349,0.4697500169277191,0.6856803327391563,rel-trial,rgcn-basis30,43
9,0.43448109303911525,0.4948616176843643,0.6627039970693221,rel-trial,rgcn-basis30,43
10,0.4232199477652709,0.48758620023727417,0.679760899575141,rel-trial,rgcn-basis30,43
11,0.41720980778336525,0.5011418610811234,0.6683821854100493,rel-trial,rgcn-basis30,43
12,0.4085191848377387,0.5024078488349915,0.6623689348147552,rel-trial,rgcn-basis30,43
13,0.4121094432969888,0.4839092940092087,0.6790550350921868,rel-trial,rgcn-basis30,43
14,0.41169405604402226,0.4934898465871811,0.672778202189967,rel-trial,rgcn-basis30,43
1,0.4997856703897317,0.49341705441474915,0.6405898882679069,rel-trial,rgcn-basis30,44
2,0.4779479019343853,0.47721749544143677,0.6788137902688987,rel-trial,rgcn-basis30,44
3,0.46636765574415523,0.4795178472995758,0.6714647581520646,rel-trial,rgcn-basis30,44
4,0.45937393481532734,0.47211427986621857,0.679600069692949,rel-trial,rgcn-basis30,44
5,0.45534618323047954,0.4766221046447754,0.6742926835806093,rel-trial,rgcn-basis30,44
6,0.4503595344722271,0.47478123009204865,0.6777773310281051,rel-trial,rgcn-basis30,44
7,0.44186437005798024,0.4756893217563629,0.6820214529192858,rel-trial,rgcn-basis30,44
8,0.43236331393321353,0.4960142970085144,0.6774690737539035,rel-trial,rgcn-basis30,44
9,0.42861026028792065,0.5225880146026611,0.6704014939309056,rel-trial,rgcn-basis30,44
10,0.41909369453787804,0.5016238689422607,0.6660278146346258,rel-trial,rgcn-basis30,44
11,0.4177991673350334,0.49916937947273254,0.667452946090717,rel-trial,rgcn-basis30,44
12,0.4102720146377881,0.5163761377334595,0.6638811824570339,rel-trial,rgcn-basis30,44
13,0.40400736530621845,0.524803102016449,0.6724073999615796,rel-trial,rgcn-basis30,44
