epoch,train_loss,val_loss,val_AUROC,aspect,dataset,variant,seed,done
2,0.9996425183614096,0.749416084250524,0.8557682392696955,A4,rel-stack,L4,42,False
3,0.98987118601799,0.8674918159487701,0.8543740982791916,A4,rel-stack,L4,42,True
1,1.0619753829638163,0.7860117268172049,0.8509183218502056,A4,rel-stack,L6,42,False
2,1.0022489589452743,0.7367097576636643,0.8562436385583897,A4,rel-stack,L6,42,False
3,1.009918021162351,0.7310705138813882,0.8594990396286072,A4,rel-stack,L6,42,False
4,1.0096151463190717,0.7175828270791542,0.8573708444118598,A4,rel-stack,L6,42,False
5,0.9827199325958887,0.7847394463384435,0.8625972710282104,A4,rel-stack,L6,42,True
1,1.0623256909847258,0.8375308978415671,0.8490466487546886,A4,rel-stack,L8,42,False
2,1.0214156832297645,0.907907752941052,0.8391031334367893,A4,rel-stack,L8,42,False
3,1.0075497927268346,0.7462018334439823,0.8521077124741073,A4,rel-stack,L8,42,False
4,0.9887351667881012,0.7409398517615738,0.8509612864157692,A4,rel-stack,L8,42,False
5,1.0130307426055272,0.8446328133522045,0.8578768289825894,A4,rel-stack,L8,42,True
1,1.0377069234848022,0.6939107457708035,0.8596763890228529,A4,rel-stack,L1-skip,42,False
2,0.9816877915461858,0.7180140163926851,0.8490118376128144,A4,rel-stack,L1-skip,42,False
3,0.995132212638855,0.775442290075478,0.8475982079510528,A4,rel-stack,L1-skip,42,True
1,1.0394299191236496,0.7534023489625681,0.8568228175073316,A4,rel-stack,L2-skip,42,False
2,1.015432191491127,0.7886714787178096,0.8577139593727924,A4,rel-stack,L2-skip,42,False
3,0.994664367834727,0.8105653691149893,0.8602200086041489,A4,rel-stack,L2-skip,42,False
4,0.9714789922038716,0.7977412374956268,0.8513839420020722,A4,rel-stack,L2-skip,42,False
5,0.975241226752599,0.7143320339244037,0.8659245266304912,A4,rel-stack,L2-skip,42,True
1,1.0327913022041322,0.8089749884924718,0.8553990482677561,A4,rel-stack,L3-skip,42,False
2,1.0021052040656409,0.77477057695034,0.8464340655967894,A4,rel-stack,L3-skip,42,False
3,0.9756351176897684,0.7904264243053538,0.8611665316057004,A4,rel-stack,L3-skip,42,False
4,0.9915828631321588,0.7579906255538974,0.8573233308324694,A4,rel-stack,L3-skip,42,False
